2020-09-05 12:53:16.582 DEBUG    [vehicle_counter] No match for vehicle #3329. frames_since_seen=2
2020-09-05 12:53:16.582 DEBUG    [vehicle_counter] Added match (1191, 563) to vehicle #3341. vector=(1.41,-135.00)
2020-09-05 12:53:16.583 DEBUG    [vehicle_counter] No match for vehicle #3343. frames_since_seen=1
2020-09-05 12:53:16.589 DEBUG    [vehicle_counter] No match for vehicle #3353. frames_since_seen=3
2020-09-05 12:53:16.589 DEBUG    [vehicle_counter] No match for vehicle #3359. frames_since_seen=2
2020-09-05 12:53:16.589 DEBUG    [vehicle_counter] Added match (1049, 512) to vehicle #3361. vector=(0.00,0.00)
2020-09-05 12:53:16.590 DEBUG    [vehicle_counter] No match for vehicle #3365. frames_since_seen=4
2020-09-05 12:53:16.590 DEBUG    [vehicle_counter] Added match (1181, 428) to vehicle #3367. vector=(1.00,180.00)
2020-09-05 12:53:16.590 DEBUG    [vehicle_counter] No match for vehicle #3369. frames_since_seen=1
2020-09-05 12:53:16.591 DEBUG    [vehicle_counter] Added match (1042, 136) to vehicle #3370. vector=(1.00,-90.00)
2020-09-05 12:53:16.591 DEBUG    [vehicle_counter] Added match (308, 159) to vehicle #3374. vector=(2.24,-63.43)
2020-09-05 12:53:16.591 DEBUG    [vehicle_counter] No match for vehicle #3375. frames_since_seen=1
2020-09-05 12:53:16.591 DEBUG    [vehicle_counter] No match for vehicle #3383. frames_since_seen=4
2020-09-05 12:53:16.592 DEBUG    [vehicle_counter] Added match (1067, 501) to vehicle #3384. vector=(0.00,0.00)
2020-09-05 12:53:16.592 DEBUG    [vehicle_counter] Added match (1216, 443) to vehicle #3385. vector=(1.00,180.00)
2020-09-05 12:53:16.592 DEBUG    [vehicle_counter] Added match (726, 651) to vehicle #3386. vector=(7.81,50.19)
2020-09-05 12:53:16.592 DEBUG    [vehicle_counter] Added match (1020, 535) to vehicle #3387. vector=(1.00,-90.00)
2020-09-05 12:53:16.593 DEBUG    [vehicle_counter] No match for vehicle #3388. frames_since_seen=1
2020-09-05 12:53:16.593 DEBUG    [vehicle_counter] No match for vehicle #3389. frames_since_seen=3
2020-09-05 12:53:16.593 DEBUG    [vehicle_counter] No match for vehicle #3390. frames_since_seen=3
2020-09-05 12:53:16.593 DEBUG    [vehicle_counter] No match for vehicle #3391. frames_since_seen=1
2020-09-05 12:53:16.594 DEBUG    [vehicle_counter] Created new vehicle #3392 from match (861, 493).
2020-09-05 12:53:16.594 DEBUG    [vehicle_counter] Created new vehicle #3393 from match (1190, 238).
2020-09-05 12:53:16.594 DEBUG    [vehicle_counter] Counted vehicle #3392 (total count=1213).
2020-09-05 12:53:16.604 DEBUG    [vehicle_counter] Removed vehicle #3299.
2020-09-05 12:53:16.606 DEBUG    [vehicle_counter] Count updated, tracking 27 vehicles.
2020-09-05 12:53:16.606 DEBUG    [root] Saving processed frame #426 as 'images/processed_0426.png'
2020-09-05 12:53:16.649 DEBUG    [main] Frame #426 processed.
2020-09-05 12:53:16.653 DEBUG    [main] Capturing frame #427...
2020-09-05 12:53:16.658 DEBUG    [main] Got frame #427: shape=(720, 1280, 3)
2020-09-05 12:53:16.658 DEBUG    [root] Saving source frame #427 as 'images/frame_  427.png'
2020-09-05 12:53:16.702 DEBUG    [main] Processing frame #427...
2020-09-05 12:53:16.741 DEBUG    [root] Saving foreground mask for frame #427 as 'images/mask_0427.png'
2020-09-05 12:53:16.745 DEBUG    [detect_vehicles] Found 143 vehicle contours.
2020-09-05 12:53:16.746 DEBUG    [detect_vehicles] Contour #0: pos=(x=661, y=708) size=(w=10, h=12) valid=False
2020-09-05 12:53:16.746 DEBUG    [detect_vehicles] Contour #1: pos=(x=673, y=697) size=(w=13, h=14) valid=False
2020-09-05 12:53:16.747 DEBUG    [detect_vehicles] Contour #2: pos=(x=804, y=691) size=(w=9, h=7) valid=False
2020-09-05 12:53:16.747 DEBUG    [detect_vehicles] Contour #3: pos=(x=965, y=686) size=(w=17, h=11) valid=False
2020-09-05 12:53:16.747 DEBUG    [detect_vehicles] Contour #4: pos=(x=1273, y=677) size=(w=7, h=11) valid=False
2020-09-05 12:53:16.748 DEBUG    [detect_vehicles] Contour #5: pos=(x=979, y=661) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.748 DEBUG    [detect_vehicles] Contour #6: pos=(x=765, y=657) size=(w=23, h=17) valid=False
2020-09-05 12:53:16.749 DEBUG    [detect_vehicles] Contour #7: pos=(x=998, y=653) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.754 DEBUG    [detect_vehicles] Contour #8: pos=(x=1266, y=649) size=(w=14, h=11) valid=False
2020-09-05 12:53:16.755 DEBUG    [detect_vehicles] Contour #9: pos=(x=1009, y=648) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.756 DEBUG    [detect_vehicles] Contour #10: pos=(x=1017, y=638) size=(w=15, h=11) valid=False
2020-09-05 12:53:16.756 DEBUG    [detect_vehicles] Contour #11: pos=(x=1001, y=636) size=(w=8, h=10) valid=False
2020-09-05 12:53:16.757 DEBUG    [detect_vehicles] Contour #12: pos=(x=991, y=617) size=(w=26, h=17) valid=False
2020-09-05 12:53:16.757 DEBUG    [detect_vehicles] Contour #13: pos=(x=887, y=614) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.757 DEBUG    [detect_vehicles] Contour #14: pos=(x=965, y=610) size=(w=9, h=9) valid=False
2020-09-05 12:53:16.758 DEBUG    [detect_vehicles] Contour #15: pos=(x=1085, y=609) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.758 DEBUG    [detect_vehicles] Contour #16: pos=(x=686, y=602) size=(w=83, h=98) valid=True
2020-09-05 12:53:16.758 DEBUG    [detect_vehicles] Contour #17: pos=(x=964, y=599) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.759 DEBUG    [detect_vehicles] Contour #18: pos=(x=767, y=590) size=(w=14, h=15) valid=False
2020-09-05 12:53:16.759 DEBUG    [detect_vehicles] Contour #19: pos=(x=1237, y=586) size=(w=8, h=7) valid=False
2020-09-05 12:53:16.759 DEBUG    [detect_vehicles] Contour #20: pos=(x=882, y=586) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.760 DEBUG    [detect_vehicles] Contour #21: pos=(x=827, y=581) size=(w=16, h=15) valid=False
2020-09-05 12:53:16.760 DEBUG    [detect_vehicles] Contour #22: pos=(x=785, y=581) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.760 DEBUG    [detect_vehicles] Contour #23: pos=(x=875, y=571) size=(w=11, h=9) valid=False
2020-09-05 12:53:16.760 DEBUG    [detect_vehicles] Contour #24: pos=(x=1054, y=567) size=(w=8, h=12) valid=False
2020-09-05 12:53:16.761 DEBUG    [detect_vehicles] Contour #25: pos=(x=960, y=565) size=(w=19, h=12) valid=False
2020-09-05 12:53:16.761 DEBUG    [detect_vehicles] Contour #26: pos=(x=993, y=552) size=(w=25, h=28) valid=True
2020-09-05 12:53:16.761 DEBUG    [detect_vehicles] Contour #27: pos=(x=1048, y=543) size=(w=12, h=13) valid=False
2020-09-05 12:53:16.762 DEBUG    [detect_vehicles] Contour #28: pos=(x=1095, y=542) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.762 DEBUG    [detect_vehicles] Contour #29: pos=(x=973, y=539) size=(w=29, h=17) valid=False
2020-09-05 12:53:16.762 DEBUG    [detect_vehicles] Contour #30: pos=(x=1155, y=531) size=(w=74, h=64) valid=True
2020-09-05 12:53:16.763 DEBUG    [detect_vehicles] Contour #31: pos=(x=1004, y=523) size=(w=35, h=23) valid=True
2020-09-05 12:53:16.763 DEBUG    [detect_vehicles] Contour #32: pos=(x=960, y=512) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.763 DEBUG    [detect_vehicles] Contour #33: pos=(x=980, y=506) size=(w=23, h=14) valid=False
2020-09-05 12:53:16.764 DEBUG    [detect_vehicles] Contour #34: pos=(x=1031, y=481) size=(w=38, h=61) valid=True
2020-09-05 12:53:16.764 DEBUG    [detect_vehicles] Contour #35: pos=(x=977, y=481) size=(w=10, h=8) valid=False
2020-09-05 12:53:16.764 DEBUG    [detect_vehicles] Contour #36: pos=(x=1051, y=480) size=(w=33, h=42) valid=True
2020-09-05 12:53:16.765 DEBUG    [detect_vehicles] Contour #37: pos=(x=217, y=468) size=(w=34, h=16) valid=False
2020-09-05 12:53:16.765 DEBUG    [detect_vehicles] Contour #38: pos=(x=969, y=467) size=(w=18, h=15) valid=False
2020-09-05 12:53:16.766 DEBUG    [detect_vehicles] Contour #39: pos=(x=921, y=467) size=(w=16, h=17) valid=False
2020-09-05 12:53:16.772 DEBUG    [detect_vehicles] Contour #40: pos=(x=934, y=464) size=(w=19, h=24) valid=False
2020-09-05 12:53:16.773 DEBUG    [detect_vehicles] Contour #41: pos=(x=253, y=456) size=(w=33, h=16) valid=False
2020-09-05 12:53:16.773 DEBUG    [detect_vehicles] Contour #42: pos=(x=288, y=453) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.774 DEBUG    [detect_vehicles] Contour #43: pos=(x=969, y=452) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.774 DEBUG    [detect_vehicles] Contour #44: pos=(x=1135, y=443) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.774 DEBUG    [detect_vehicles] Contour #45: pos=(x=983, y=439) size=(w=17, h=9) valid=False
2020-09-05 12:53:16.775 DEBUG    [detect_vehicles] Contour #46: pos=(x=1134, y=433) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.775 DEBUG    [detect_vehicles] Contour #47: pos=(x=349, y=433) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.775 DEBUG    [detect_vehicles] Contour #48: pos=(x=1204, y=424) size=(w=26, h=38) valid=True
2020-09-05 12:53:16.775 DEBUG    [detect_vehicles] Contour #49: pos=(x=1097, y=424) size=(w=17, h=14) valid=False
2020-09-05 12:53:16.776 DEBUG    [detect_vehicles] Contour #50: pos=(x=1142, y=419) size=(w=19, h=23) valid=False
2020-09-05 12:53:16.776 DEBUG    [detect_vehicles] Contour #51: pos=(x=1172, y=417) size=(w=20, h=23) valid=False
2020-09-05 12:53:16.776 DEBUG    [detect_vehicles] Contour #52: pos=(x=1137, y=404) size=(w=27, h=15) valid=False
2020-09-05 12:53:16.777 DEBUG    [detect_vehicles] Contour #53: pos=(x=795, y=404) size=(w=134, h=178) valid=True
2020-09-05 12:53:16.777 DEBUG    [detect_vehicles] Contour #54: pos=(x=439, y=400) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.777 DEBUG    [detect_vehicles] Contour #55: pos=(x=1099, y=395) size=(w=10, h=13) valid=False
2020-09-05 12:53:16.778 DEBUG    [detect_vehicles] Contour #56: pos=(x=902, y=393) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.778 DEBUG    [detect_vehicles] Contour #57: pos=(x=1209, y=391) size=(w=16, h=34) valid=False
2020-09-05 12:53:16.778 DEBUG    [detect_vehicles] Contour #58: pos=(x=1091, y=386) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.779 DEBUG    [detect_vehicles] Contour #59: pos=(x=1100, y=376) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.779 DEBUG    [detect_vehicles] Contour #60: pos=(x=673, y=367) size=(w=9, h=8) valid=False
2020-09-05 12:53:16.779 DEBUG    [detect_vehicles] Contour #61: pos=(x=986, y=365) size=(w=18, h=10) valid=False
2020-09-05 12:53:16.780 DEBUG    [detect_vehicles] Contour #62: pos=(x=1230, y=341) size=(w=16, h=11) valid=False
2020-09-05 12:53:16.780 DEBUG    [detect_vehicles] Contour #63: pos=(x=1222, y=327) size=(w=9, h=11) valid=False
2020-09-05 12:53:16.780 DEBUG    [detect_vehicles] Contour #64: pos=(x=62, y=324) size=(w=8, h=9) valid=False
2020-09-05 12:53:16.781 DEBUG    [detect_vehicles] Contour #65: pos=(x=124, y=322) size=(w=10, h=7) valid=False
2020-09-05 12:53:16.781 DEBUG    [detect_vehicles] Contour #66: pos=(x=1115, y=318) size=(w=21, h=18) valid=False
2020-09-05 12:53:16.781 DEBUG    [detect_vehicles] Contour #67: pos=(x=1227, y=317) size=(w=10, h=9) valid=False
2020-09-05 12:53:16.782 DEBUG    [detect_vehicles] Contour #68: pos=(x=534, y=307) size=(w=39, h=55) valid=True
2020-09-05 12:53:16.788 DEBUG    [detect_vehicles] Contour #69: pos=(x=1272, y=296) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.788 DEBUG    [detect_vehicles] Contour #70: pos=(x=1213, y=294) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.789 DEBUG    [detect_vehicles] Contour #71: pos=(x=1151, y=294) size=(w=14, h=13) valid=False
2020-09-05 12:53:16.790 DEBUG    [detect_vehicles] Contour #72: pos=(x=1186, y=288) size=(w=13, h=10) valid=False
